,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Colac,AU,-38.3333,143.5833,55.17,83,100,10.58,overcast clouds
213,Erzin,TR,36.9559,36.2,81.45,57,0,3.44,clear sky
214,Bubaque,GW,11.2833,-15.8333,79.39,78,74,12.88,broken clouds
215,La Rioja,ES,42.25,-2.5,51.58,93,0,4.56,clear sky
216,Shimoda,JP,34.6667,138.95,92.1,77,70,10.04,broken clouds
217,Elbeuf,FR,49.2867,1.0029,58.73,87,100,6.91,overcast clouds
218,Arraial Do Cabo,BR,-22.9661,-42.0278,69.67,85,0,15.55,clear sky
219,Sao Filipe,CV,14.8961,-24.4956,77.04,85,55,2.75,broken clouds
220,Putina,PE,-15.4667,-69.4333,41.23,64,14,3.71,few clouds
221,Male,MV,4.1748,73.5089,85.95,74,75,14.97,broken clouds
222,Zheshart,RU,62.0731,49.5733,66.69,44,17,3.29,few clouds
223,Agadez,NE,19.75,10.25,80.92,23,31,11.81,scattered clouds
224,Henties Bay,NA,-22.116,14.2845,52.52,84,24,4.85,few clouds
225,East London,ZA,-33.0153,27.9116,63.54,59,0,11.5,clear sky
226,Malur,IN,13.0075,77.9378,78.58,64,20,5.86,few clouds
227,Margate,GB,51.3813,1.3862,60.91,82,100,1.01,overcast clouds
228,Ulagan,RU,50.6321,87.9563,71.4,38,1,2.62,clear sky
229,Mamallapuram,IN,12.6264,80.1722,89.06,61,13,6.51,few clouds
230,Labuan,MY,5.2767,115.2417,84.56,79,20,3.44,few clouds
231,Bowen,AU,-20.0167,148.2333,70.79,59,0,15.26,clear sky
232,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,0,5.41,clear sky
233,Svetlogorsk,BY,52.6333,29.7333,66.56,74,100,6.62,overcast clouds
234,Dubbo,AU,-32.25,148.6167,53.73,71,100,16.11,overcast clouds
235,Tual,ID,-5.6667,132.75,79.68,77,60,19.37,broken clouds
236,San Quintin,MX,30.4833,-115.95,66.94,86,10,9.55,clear sky
237,Cabedelo,BR,-6.9811,-34.8339,72.27,85,38,10.29,scattered clouds
238,Bumba,CD,2.1833,22.4667,70.43,96,100,2.19,overcast clouds
239,Hammerfest,NO,70.6634,23.6821,57.65,100,75,10.36,broken clouds
240,Buriti Bravo,BR,-5.8372,-43.8336,72.05,46,41,6.71,scattered clouds
241,Longhua,CN,23.6137,114.1919,102.63,36,3,4.32,clear sky
242,Hambantota,LK,6.1241,81.1185,82.74,89,20,1.14,few clouds
243,Mahon,ES,39.8885,4.2658,72.16,78,0,5.75,clear sky
244,Houston,US,29.7633,-95.3633,86.29,75,0,9.22,clear sky
245,Maneadero,MX,31.7167,-116.5667,68.11,83,35,1.99,scattered clouds
246,Hay River,CA,60.8156,-115.7999,66.18,77,75,9.22,broken clouds
247,Derzhavinsk,KZ,51.1,66.3167,78.03,43,25,16.33,scattered clouds
248,Namanyere,TZ,-7.5167,31.05,56.98,70,57,5.37,broken clouds
249,Bilma,NE,18.6853,12.9164,85.57,13,37,4.34,scattered clouds
250,Skegness,GB,53.1436,0.3363,57.06,66,96,3.42,overcast clouds
251,Caravelas,BR,-17.7125,-39.2481,69.28,81,2,6.42,clear sky
252,Clonakilty,IE,51.6231,-8.8706,56.41,71,100,2.71,overcast clouds
253,Noumea,NC,-22.2763,166.4572,78.78,99,0,5.57,clear sky
254,Dayong,CN,25.0209,118.2898,96.8,51,5,3.31,clear sky
255,Mar Del Plata,AR,-38.0023,-57.5575,53.1,98,100,4.61,fog
256,Alofi,NU,-19.0595,-169.9187,75.09,69,33,10.36,scattered clouds
257,Bonthe,SL,7.5264,-12.505,75.83,84,100,6.8,overcast clouds
258,Selma,US,36.5708,-119.6121,89.38,33,0,8.05,clear sky
259,Magadi,IN,12.9667,77.2333,78.96,66,31,5.12,scattered clouds
260,Luderitz,NA,-26.6481,15.1594,53.85,70,0,8.46,clear sky
261,Port Lincoln,AU,-34.7333,135.8667,60.08,54,60,15.39,broken clouds
262,Anadyr,RU,64.75,177.4833,48.7,87,75,8.95,light intensity drizzle
263,Comodoro Rivadavia,AR,-45.8667,-67.5,31.86,93,0,3.44,clear sky
264,Farah,AF,32.5,62.5,91.18,38,48,6.26,scattered clouds
265,Brae,GB,60.3964,-1.353,52.7,81,82,9.08,light rain
266,Ambilobe,MG,-13.2,49.05,72.28,66,45,3.83,scattered clouds
267,Weihe,CN,32.9952,105.3247,71.89,78,95,6.02,moderate rain
268,Neuquen,AR,-38.9516,-68.0591,44.49,93,100,0.0,light intensity drizzle
269,Ishinomaki,JP,38.4167,141.3,80.6,80,78,8.32,broken clouds
270,Shelburne,CA,44.0787,-80.2041,60.6,70,5,3.36,clear sky
271,Goderich,CA,43.7501,-81.7165,61.92,82,26,3.44,scattered clouds
272,Pampierstad,ZA,-27.7832,24.6877,53.83,68,58,13.44,broken clouds
273,Puri,IN,19.8,85.85,86.52,70,98,8.28,overcast clouds
274,Samarai,PG,-10.6167,150.6667,80.22,80,58,11.99,broken clouds
275,Marystown,CA,47.1666,-55.1483,64.85,100,98,6.08,overcast clouds
276,Kamina,CD,-8.7386,24.9906,57.72,54,95,4.59,overcast clouds
277,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,57.88,96,19,2.59,few clouds
278,Karratha,AU,-20.7377,116.8463,82.53,27,1,15.23,clear sky
279,Saint Paul,US,44.9444,-93.0933,70.38,88,20,13.8,few clouds
280,Touros,BR,-5.1989,-35.4608,72.41,90,4,10.6,clear sky
281,Zheleznodorozhnyy,RU,55.7503,38.0042,73.92,72,12,2.33,few clouds
282,Domoni,KM,-12.2569,44.5319,75.74,72,11,8.28,few clouds
283,Tonantins,BR,-2.8731,-67.8022,74.05,93,88,2.26,overcast clouds
284,Flinders,AU,-34.5833,150.8552,66.18,46,3,11.01,clear sky
285,Pangody,RU,65.85,74.4859,53.56,74,88,7.38,overcast clouds
286,Mbanza-Ngungu,CD,-5.25,14.8667,60.26,94,56,4.05,broken clouds
